Start
-0.0004762157615905132,0.0014708239507703492
-0.0006671756428382452,0.0010679356416168086
-0.0010749014136741514,0.000108877252424271
0.0008756843089858745,0.00412057177947635
2.023588761511548e-05,0.001846185087379897
0.0012809221054241953,0.00014180837977809316,0.00011576935215161681,3.13818636945868e-05
1.9625227879906462e-05,0.0001810661267349399,8.266252812672188e-05,-0.00027144982852102056
0.0001119795305844445,9.431969003805864e-05,0.00021178309301403194,6.556094673303321e-05,0.0022452954684888133
0.0002289023080995146,0.0001440661304244852,4.8628356808634934e-05,0.00018084068427091907,4.5850283400006644e-05
0.00016601236047125278,8.28954148677903e-05,-9.541260490809542e-06,0.00012092803329786962,-9.32080415274282e-06
0.0001566132810544895,7.534544006383659e-05,-1.5018081442203998e-05,0.00010998557972566537,-1.2920119619270684e-05,0.004152740284012914
0.00019233203144446075,0.00011382699185411905,2.8683888613408384e-05,0.00012797040222999002,1.2122848352948482e-05,0.004011269073034064
0.00014944055212442426,7.243239659037927e-05,-1.0274264173422074e-05,9.93882939454363e-05,-1.1432581344941392e-05,0.003867884078188279
0.0001441302067565083,6.892626615971436e-05,-1.1156090731432797e-05,0.00010297357587913868,-1.2547497940437052e-06,0.0037276202434923817
0.00014607564805659042,7.280837986643048e-05,-4.221968519032768e-06,8.744604447528678e-05,-1.1919564941056601e-05,0.00359212805451903
0.00013319833499192402,6.166981436147595e-05,-1.2480565303679345e-05,9.577301066547e-05,3.284468063526405e-06,0.0034588046380681506
0.00014639842677969267,7.692173007843916e-05,6.1224672449431555e-06,7.718592392639523e-05,-1.1187936981972221e-05,0.0033293303954334014
0.00012363276020989805,5.5881398870150866e-05,-1.1679339505075645e-05,7.665074739476818e-05,-3.534728577605714e-06,0.0031976529993273956
0.00013071413182662032,6.473255225973533e-05,-4.686990584448075e-07,6.110575276374198e-05,-1.2061755205522093e-05,0.003067843620329096
0.00011538807534188539,5.09141574869679e-05,-1.218572328131988e-05,7.021252255415191e-05,3.663069771739705e-06,0.002938103192134932
0.0001271074806772423,6.443450794340702e-05,3.707942254795385e-06,4.9613807763555446e-05,-1.14356009899199e-05,0.002810142642858381
0.00010802263854309056,4.67955576437495e-05,-1.1986646887713823e-05,5.4805074938354e-05,-1.4734471955931555e-06,0.002680054593726876
0.00011852322609598798,5.8999753804347266e-05,2.204533782435361e-06,4.0737476267650494e-05,-1.1918257967867205e-05,0.0025515789758119457
0.00010129205173318338,4.3108523538773865e-05,-1.2242201943088102e-05,5.116920541643875e-05,2.552564809099947e-06,0.002422220228355922
0.00011425668475648909,5.778027092730889e-05,4.34381939772889e-06,3.42455471079167e-05,-1.1498262277640989e-05,0.0022941650017143256
9.504697154770727e-05,3.984377145420496e-05,-1.2405322108005254e-05,4.19441288193449e-05,-9.25520104338648e-07,0.0021641611982927567
0.00010976588545202147,5.6259855143211435e-05,5.810922304444813e-06,2.9198519219234807e-05,-1.175778618135552e-05,0.0020358080707627863
8.951805607789957e-05,3.7247248773960055e-05,-1.214304127314901e-05,3.973543372004031e-05,1.1829799564464644e-06,0.0019057471340631228
0.00010224090147211336,5.158612247107135e-05,3.6793228870100197e-06,2.5448200648016317e-05,-1.1659702211943776e-05,0.0017765812839203466
8.425777622268575e-05,3.480738239110747e-05,-1.2287959051398775e-05,3.5695537409700464e-05,3.8287081129302625e-07,0.0016458477099165775
9.796119239736852e-05,5.021694683522582e-05,4.949980583418903e-06,2.26740477042254e-05,-1.1722037086102019e-05,0.0015163886728470927
7.904697556483177e-05,3.247474545491011e-05,-1.2106301117807347e-05,3.38060517542934e-05,8.571515095218835e-07,0.0013852269203067382
9.16216858917468e-05,4.665768358400068e-05,3.484649922171415e-06,2.0593409439202253e-05,-1.1744611933433777e-05,0.0012549344301728983
7.432265131668225e-05,3.0504968029595378e-05,-1.2177756508744905e-05,3.222701800007967e-05,1.0337825437790188e-06,0.001123192465147806
